case_type,model,condition,candidate_top_n,alpha,beta,id,row_index,query,q_target,q_trap,doc_target_title,doc_trap_title,doc_target,doc_trap,baseline_target_rank,baseline_trap_rank,final_target_rank,final_trap_rank,recall@3,violation@3,recall@5,violation@5,recall@7,violation@7,recall@9,violation@9
success_trap_removed_recall_kept,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_2847,874,"What similarities can be found between MindLeaders and other e-learning and organizational development companies in terms of their products and market presence, without including any details about Skillsoft?",similarities between MindLeaders and other e-learning and organizational development companies in terms of their products and market presence,Skillsoft,MindLeaders,Skillsoft,"MindLeaders MindLeaders is an e-learning and organizational development company with a global headquarters in Dublin, Ireland and offices in the UK, US, South Africa and Australia which has been described by Bersin as a ""global e-learning player"" along with Skillsoft and Element K (which was acquired by Skillsoft in 2011). The company has a content library (...","Skillsoft Skillsoft is an American educational technology company that produces learning management system software and content. s of 2014 , it was one of the world's largest corporate training providers, with 10,000 customers, 60 million users, and 2,400 employees.",1,3,1,90406,True,False,True,False,True,False,True,False
success_trap_removed_recall_kept,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_3004,742,Can you tell me the location of Friday Harbor Airport without bringing up Dayton International Airport?,location of Friday Harbor Airport,Dayton International Airport,Friday Harbor Airport,Dayton International Airport,"Friday Harbor Airport Friday Harbor Airport (IATA: FRD, ICAO: KFHR, FAA LID: FHR) is a public use airport located just southwest of the town center of Friday Harbor on San Juan Island in the U.S. state of Washington. It is owned by the Port of Friday Harbor.Friday Harbor is also the default airport of ""Microsoft Flight Simulator X"", although Aircraft spawn i...","Dayton International Airport Dayton International Airport (IATA: DAY, ICAO: KDAY, FAA LID: DAY) (officially James M. Cox Dayton International Airport), formerly Dayton Municipal Airport and James M. Cox-Dayton Municipal Airport, is ten miles north of downtown Dayton, in Montgomery County, Ohio. The airport is within the city limits of Dayton, in an exclave o...",1,9,1,90406,True,False,True,False,True,False,True,False
success_trap_removed_recall_kept,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_1665,146,"In addition to Andy Samberg, who stars in the 2017 American comedy film Take the 10, written and directed by Chester Tam?",stars in the 2017 American comedy film Take the 10,Andy Samberg,Take the 10,Andy Samberg,"Take the 10 Take the 10 is a 2017 American comedy film written and directed by Chester Tam. The film stars Josh Peck, Tony Revolori, Emily Chang, Cleopatra Coleman, Kevin Corrigan and Andy Samberg. The film was released on Netflix on January 20, 2017.","Andy Samberg Andrew David Samberg (born David A. J. Samberg; August 18, 1978) is an American actor, filmmaker, musician and comedian.",1,3,1,90406,True,False,True,False,True,False,True,False
success_trap_removed_recall_kept,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_2963,369,"What does the radio show ""Point of Inquiry"" focus on and what is its purpose, without mentioning Lisa Randall?",radio show Point of Inquiry focus and purpose,Lisa Randall,Point of Inquiry,Lisa Randall,"Point of Inquiry Point of Inquiry is the radio show and flagship podcast of the Center for Inquiry (CFI), ""a think tank promoting science, reason, and secular values in public policy and at the grass roots"". Started in 2005, ""Point of Inquiry"" has consistently been ranked among the best science podcasts available in iTunes. It has been celebrated for its gue...","Lisa Randall Lisa Randall (born June 18, 1962) is an American theoretical physicist working in particle physics and cosmology. She is the Frank B. Baird, Jr. Professor of Science on the physics faculty of Harvard University. Her research includes elementary particles, fundamental forces and extra dimensions of space. She studies the Standard Model, supersymm...",1,6,1,90406,True,False,True,False,True,False,True,False
tradeoff_trap_removed_recall_lost,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_839,54,"Can you recommend any noteworthy documentaries about the war from the 2000s, but please exclude any information about Michael Tucker's 2004 documentary, Gunner's Palace, which was released in limited release in the United States on March 4, 2005?",noteworthy documentaries about the war from the 2000s,Gunner's Palace,War/Dance,Gunner Palace,"War/Dance War/Dance is a 2007 American documentary film written and directed by Sean Fine and Andrea Nix Fine and produced by Shine Global's Susan MacLaury, a professor at Kean University, and Albie Hecht. It was nominated for the 2008 Academy Award for Best Documentary Feature and received the Emmy Award for Best Documentary and Best Cinematography in 2010.","Gunner Palace Gunner Palace is a 2004 documentary film by Michael Tucker, which had a limited release in the United States on March 4, 2005. The film was an account of the complex realities of the situation in Iraq during 2003–2004 amidst the Iraqi insurgency not seen on the nightly news. Told first-hand by American troops stationed in the middle of Baghdad,...",6,1,10,3547,False,False,False,False,False,False,False,False
tradeoff_trap_removed_recall_lost,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_2968,372,"What kind of membership options does Ivey League offer for different skill levels, excluding any information related to Phil Ivey's involvement?",membership options Ivey League for different skill levels,Phil Ivey,Ivey League,Phil Ivey,"Ivey League Ivey League was a poker training website founded by American professional poker player Phil Ivey. Ivey League launched on January 28, 2014 offering poker strategy videos from prominent professional players serving as coaches. The roster of Ivey League instructors included Ivey, Jennifer Harman, Cole South and Patrik Antonius, among others. There ...","Phil Ivey Phillip Dennis Ivey Jr. (born February 1, 1977), commonly known as Phil Ivey, is an American professional poker player who has won ten World Series of Poker bracelets, one World Poker Tour title, and appeared at nine World Poker Tour final tables. Ivey was at one time regarded by numerous poker observers and contemporaries as the best all-around pl...",1,3,10,90203,False,False,False,False,False,False,False,False
tradeoff_trap_removed_recall_lost,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_1502,273,"Who else has played for Tottenham Hotspur, aside from Danny Blanchflower?",players who have played for Tottenham Hotspur,Danny Blanchflower,Ron Reynolds,Danny Blanchflower,"Ron Reynolds Ronald Sidney Maurice Reynolds (2 June 1928 – 2 June 1999) was a goalkeeper whose career spanned nearly 20 years; he played 290 League games for three professional clubs, and for most of the 1950s played for Tottenham Hotspur, alongside his friend and tactical confidant, Danny Blanchflower.","Danny Blanchflower Robert Dennis ""Danny"" Blanchflower (10 February 1926 – 9 December 1993) was a former Northern Ireland international footballer and football manager, and journalist who captained Tottenham Hotspur during its double-winning season of 1960–61. He was ranked as the greatest player in Spurs history by ""The Times"" in 2009. He played as a right h...",2,1,10,35,False,False,False,False,False,False,False,False
tradeoff_trap_removed_recall_lost,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_2930,291,"Can you provide the names and locations of two abandoned mines in Northeastern Ontario, Canada, without including any information about the Temagami-Lorrain Mine?","names and locations of two abandoned mines in Northeastern Ontario, Canada",Temagami-Lorrain Mine,Leckie Mine,Temagami-Lorrain Mine,"Leckie Mine Leckie Mine, also known as Penrose Mine and Little Dan Mine, is an abandoned gold producing underground mine in Northeastern Ontario, Canada, located on the eastern shore of Arsenic Lake 4 km north of the town of Temagami. It is entirely owned by Temagami Gold Inc. An estimated 483,500 tonnes of ore remain in the mine, which could contain 102,720...","Temagami-Lorrain Mine Temagami-Lorrain Mine is an abandoned surface and underground mine in Northeastern Ontario, Canada. It is located about 10 km northeast of the town of Temagami near Sauvé Lake in central Cassels Township. It is named after the Temagami-Lorrain Mining Company, which carried out work on the property in the early 1900s.",9,3,12,4843,False,False,False,False,False,False,False,False
remaining_violation,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_930,758,"Who represented the family of Ibragim Todashev, a Chechen man who was fatally shot by the FBI during questioning in connection to the Boston Marathon bombing, without including any details about the incident itself?",who represented the family of Ibragim Todashev,Boston Marathon bombing incident,Barry Cohen (attorney),Ibragim Todashev,"Barry Cohen (attorney) Barry Cohen (born c. 1938) is a criminal, personal injury, civil and qui tam attorney in Florida's Tampa Bay Area. Cohen was hired by the Council on American–Islamic Relations (CAIR) to represent the family of Ibragim Todashev, an unarmed Chechen shot to death while being questioned by the FBI in relation to the Boston Marathon bombing...","Ibragim Todashev Ibragim Todashev (""Ибрагим Тодашев""; September 22, 1985 – May 22, 2013) was a Chechen American former mixed martial artist and friend of suspected Boston Marathon bomber and former amateur boxer, Tamerlan Tsarnaev. At his apartment in Orlando, Florida, he was shot dead by FBI agent Aaron McFarlane during a police interview on May 22, 2013. H...",2,1,2,1,True,True,True,True,True,True,True,True
remaining_violation,Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,1.0,0.75,excluir_1252,104,"Other than  History of the telescope, who else made early telescopes?",who else made early telescopes,History of the telescope,History of the telescope,Hans Lippershey,"History of the telescope The earliest known telescope appeared in 1608 in the Netherlands when an eyeglass maker named Hans Lippershey tried to obtain a patent on one. Although Lippershey did not receive his patent, news of the new invention soon spread across Europe. The design of these early refracting telescopes consisted of a convex objective lens and a ...","Hans Lippershey Hans Lippershey (1570 – buried 29 September 1619), also known as Johann Lippershey or Lipperhey, was a German-Dutch spectacle-maker. He is commonly associated with the invention of the telescope, because he was the first one who tried to obtain a patent for it. It is however unclear if he was the first one to build a telescope.",1,2,4,1,False,True,True,True,True,True,True,True
