category,row_index,id,query,q_target,q_trap,answer_title,trap_title,baseline_answer_rank,baseline_trap_rank,no_target_answer_rank,no_target_trap_rank,target_minus_trap_answer_rank,target_minus_trap_trap_rank,answer_snippet,trap_snippet
success_no_target,874,excluir_2847,"What similarities can be found between MindLeaders and other e-learning and organizational development companies in terms of their products and market presence, without including any details about Skillsoft?",similarities between MindLeaders and other e-learning and organizational development companies in terms of their products and market presence,Skillsoft,MindLeaders,Skillsoft,1,3,1,90406,1,90405,"MindLeaders MindLeaders is an e-learning and organizational development company with a global headquarters in Dublin, Ireland and offices in the UK, US, South Africa and Australia which has been described by Bersin as a ""global e-learning player"" along with Sk...","Skillsoft Skillsoft is an American educational technology company that produces learning management system software and content. s of 2014 , it was one of the world's largest corporate training providers, with 10,000 customers, 60 million users, and 2,400 empl..."
success_no_target,742,excluir_3004,Can you tell me the location of Friday Harbor Airport without bringing up Dayton International Airport?,location of Friday Harbor Airport,Dayton International Airport,Friday Harbor Airport,Dayton International Airport,1,9,1,90406,1,90404,"Friday Harbor Airport Friday Harbor Airport (IATA: FRD, ICAO: KFHR, FAA LID: FHR) is a public use airport located just southwest of the town center of Friday Harbor on San Juan Island in the U.S. state of Washington. It is owned by the Port of Friday Harbor.Fr...","Dayton International Airport Dayton International Airport (IATA: DAY, ICAO: KDAY, FAA LID: DAY) (officially James M. Cox Dayton International Airport), formerly Dayton Municipal Airport and James M. Cox-Dayton Municipal Airport, is ten miles north of downtown ..."
success_no_target,146,excluir_1665,"In addition to Andy Samberg, who stars in the 2017 American comedy film Take the 10, written and directed by Chester Tam?",stars in the 2017 American comedy film Take the 10,Andy Samberg,Take the 10,Andy Samberg,1,3,1,90406,1,90399,"Take the 10 Take the 10 is a 2017 American comedy film written and directed by Chester Tam. The film stars Josh Peck, Tony Revolori, Emily Chang, Cleopatra Coleman, Kevin Corrigan and Andy Samberg. The film was released on Netflix on January 20, 2017.","Andy Samberg Andrew David Samberg (born David A. J. Samberg; August 18, 1978) is an American actor, filmmaker, musician and comedian."
success_target_minus_trap,491,excluir_1652,"What impact did Vladimir Kashpur's acting career have on Russian and Soviet cinema, without considering any questions about Baba Yaga in Slavic folklore and literature?",impact of Vladimir Kashpur's acting career on Russian and Soviet cinema,Baba Yaga in Slavic folklore and literature,Vladimir Kashpur,Baba Yaga,1,2,1,89394,1,90406,"Vladimir Kashpur Vladimir Terentyevich Kashpur (Russian: Владимир Терентьевич Кашпур ) (October 26, 1926 – October 17, 2009) was a Russian and Soviet actor. A native of Severka, Altai Krai, Kashpur appeared in ""Ballad of a Soldier"" and about 115 other films, w...","Baba Yaga In Slavic folklore, Baba Yaga (Russian: Баба-яга, Polish: Baba Jaga) is a supernatural being (or one of a trio of sisters of the same name) who appears as a deformed and/or ferocious-looking witch. Baba Yaga flies around in a mortar, wields a pestle,..."
success_target_minus_trap,222,excluir_1111,"Which legal cases was Erich Schmidt-Leichner involved in, aside from the ""Klingenberg Case"" and the exorcism of Anneliese Michel?",legal cases Erich Schmidt-Leichner involved in,"Klingenberg Case, exorcism of Anneliese Michel",Erich Schmidt-Leichner,Anneliese Michel,1,2,1,55462,1,90406,"Erich Schmidt-Leichner Erich Schmidt-Leichner (14 October 1910 – 17 March 1983) was a German lawyer who made a name as a distinguished defense counsel at the Nuremberg Trials (1945 - 1946). In 1978, he was a defense counsel in the ""Klingenberg Case"" (Anneliese...",Anneliese Michel Anneliese Michel ] (21 September 1952 – 1 July 1976) was a German woman who underwent Catholic exorcism rites during the year before her death. Later investigation determined that she was malnourished and dehydrated; her parents and the priest...
success_target_minus_trap,651,excluir_732,"Apart from the personal achievements of anti-nuclear activist Helen Caldicott, whom it hosted in 2012, what else can be said about Left Unity (South Australia)?",what else can be said about Left Unity (South Australia),Helen Caldicott,Left Unity (South Australia),Helen Caldicott,1,2,1,67456,1,90406,Left Unity (South Australia) Left Unity is a not-for-profit incorporated association established in South Australia for the purpose of uniting the state's political left and supporting progressive social and environmental activism. It was formed in 2010 and wa...,"Helen Caldicott Helen Mary Caldicott (born 7 August 1938) is an Australian physician, author, and anti-nuclear advocate who has founded several associations dedicated to opposing the use of nuclear power, depleted uranium munitions, nuclear weapons, nuclear we..."
recall_loss_no_target,54,excluir_839,"Can you recommend any noteworthy documentaries about the war from the 2000s, but please exclude any information about Michael Tucker's 2004 documentary, Gunner's Palace, which was released in limited release in the United States on March 4, 2005?",noteworthy documentaries about the war from the 2000s,Gunner's Palace,War/Dance,Gunner Palace,6,1,10,3547,8,19806,"War/Dance War/Dance is a 2007 American documentary film written and directed by Sean Fine and Andrea Nix Fine and produced by Shine Global's Susan MacLaury, a professor at Kean University, and Albie Hecht. It was nominated for the 2008 Academy Award for Best D...","Gunner Palace Gunner Palace is a 2004 documentary film by Michael Tucker, which had a limited release in the United States on March 4, 2005. The film was an account of the complex realities of the situation in Iraq during 2003–2004 amidst the Iraqi insurgency ..."
recall_loss_no_target,372,excluir_2968,"What kind of membership options does Ivey League offer for different skill levels, excluding any information related to Phil Ivey's involvement?",membership options Ivey League for different skill levels,Phil Ivey,Ivey League,Phil Ivey,1,3,10,90203,5,85317,"Ivey League Ivey League was a poker training website founded by American professional poker player Phil Ivey. Ivey League launched on January 28, 2014 offering poker strategy videos from prominent professional players serving as coaches. The roster of Ivey Lea...","Phil Ivey Phillip Dennis Ivey Jr. (born February 1, 1977), commonly known as Phil Ivey, is an American professional poker player who has won ten World Series of Poker bracelets, one World Poker Tour title, and appeared at nine World Poker Tour final tables. Iv..."
recall_loss_no_target,273,excluir_1502,"Who else has played for Tottenham Hotspur, aside from Danny Blanchflower?",players who have played for Tottenham Hotspur,Danny Blanchflower,Ron Reynolds,Danny Blanchflower,2,1,10,35,126,2244,"Ron Reynolds Ronald Sidney Maurice Reynolds (2 June 1928 – 2 June 1999) was a goalkeeper whose career spanned nearly 20 years; he played 290 League games for three professional clubs, and for most of the 1950s played for Tottenham Hotspur, alongside his friend...","Danny Blanchflower Robert Dennis ""Danny"" Blanchflower (10 February 1926 – 9 December 1993) was a former Northern Ireland international footballer and football manager, and journalist who captained Tottenham Hotspur during its double-winning season of 1960–61. ..."
recall_loss_target_minus_trap,16,excluir_1484,"In addition to posing the mathematical conjecture not centered on prime numbers, Mary Lejeune has proposed what other mathematical concepts?",mathematical concepts proposed by Mary Lejeune not centered on prime numbers,prime numbers,Adrien-Marie Legendre,Legendre's conjecture,5,1,351,738,10,555,Adrien-Marie Legendre Adrien-Marie Legendre (] ; 18 September 1752 – 10 January 1833) was a French mathematician. Legendre made numerous contributions to mathematics. Well-known and important concepts such as the Legendre polynomials and Legendre transformatio...,"Legendre's conjecture Legendre's conjecture, proposed by Adrien-Marie Legendre, states that there is a prime number between ""n"" and (""n"" + 1) for every positive integer ""n"". The conjecture is one of Landau's problems (1912) on prime numbers; as of 2017 , the c..."
