id,query_column,query,q1,q2,doc1,doc2,answer_doc,trap_doc,answer_text,trap_text
368-3,q1,What desired outcome was not achieved by the two teams during regulation?,What desired outcome was not achieved by the two teams during regulation?,What desired outcome was achieved by both teams during regulation?,"In 1999, the United States hosted the FIFA Women's World Cup for the first time. During their tournament run, the women's national team established a new level of popularity for the women's game, culminating in a final against China that drew 90,185 fans, an all-time attendance record for a women's sports event, to a sold-out Rose Bowl. After neither team scored in regulation or extra time, the final went to a penalty shootout, which the United States won 5–4. The celebration by Brandi Chastain after she converted the winning penalty, in which she took off her shirt, is one of the more famous images in U.S. women's sports.","In 1999, the United States hosted the FIFA Women's World Cup for the first time. During their tournament run, the women's national team established a new level of popularity for the women's game, culminating in a final against China that drew 90,185 fans, an all-time attendance record for a women's sports event, to a sold-out Rose Bowl. Since the score remained tied at 1-1 after regulation and extra time, the final went to a penalty shootout, which the United States won 5–4. The celebration by Brandi Chastain after she converted the winning penalty, in which she took off her shirt, is one of the more famous images in U.S. women's sports.",doc1,doc2,"In 1999, the United States hosted the FIFA Women's World Cup for the first time. During their tournament run, the women's national team established a new level of popularity for the women's game, culminating in a final against China that drew 90,185 fans, an all-time attendance record for a women's sports event, to a sold-out Rose Bowl. After neither team scored in regulation or extra time, the final went to a penalty shootout, which the United States won 5–4. The celebration by Brandi Chastain after she converted the winning penalty, in which she took off her shirt, is one of the more famous images in U.S. women's sports.","In 1999, the United States hosted the FIFA Women's World Cup for the first time. During their tournament run, the women's national team established a new level of popularity for the women's game, culminating in a final against China that drew 90,185 fans, an all-time attendance record for a women's sports event, to a sold-out Rose Bowl. Since the score remained tied at 1-1 after regulation and extra time, the final went to a penalty shootout, which the United States won 5–4. The celebration by Brandi Chastain after she converted the winning penalty, in which she took off her shirt, is one of the more famous images in U.S. women's sports."
93-3,q1,What coveted university position did Euler fail in obtaining?,What coveted university position did Euler fail in obtaining?,What coveted university position did Euler succeed in obtaining?,"Around this time Johann Bernoulli's two sons, Daniel and Nicolaus, were working at the Imperial Russian Academy of Sciences in Saint Petersburg. On 31 July 1726, Nicolaus died of appendicitis after spending less than a year in Russia. When Daniel assumed his brother's position in the mathematics/physics division, he recommended that the post in physiology that he had vacated be filled by his friend Euler. In November 1726 Euler eagerly accepted the offer, but delayed making the trip to Saint Petersburg while he unsuccessfully applied for a physics professorship at the University of Basel.","Around this time Johann Bernoulli's two sons, Daniel and Nicolaus, were working at the Imperial Russian Academy of Sciences in Saint Petersburg. On 31 July 1726, Nicolaus died of appendicitis after spending less than a year in Russia. When Daniel assumed his brother's position in the mathematics/physics division, he recommended that the post in physiology that he had vacated be filled by his friend Euler. In November 1726 Euler eagerly accepted the offer, but he rescinded his acceptance while en route to Saint Petersburg, when he heard that he had been hired as a physics professor at the University of Basel",doc1,doc2,"Around this time Johann Bernoulli's two sons, Daniel and Nicolaus, were working at the Imperial Russian Academy of Sciences in Saint Petersburg. On 31 July 1726, Nicolaus died of appendicitis after spending less than a year in Russia. When Daniel assumed his brother's position in the mathematics/physics division, he recommended that the post in physiology that he had vacated be filled by his friend Euler. In November 1726 Euler eagerly accepted the offer, but delayed making the trip to Saint Petersburg while he unsuccessfully applied for a physics professorship at the University of Basel.","Around this time Johann Bernoulli's two sons, Daniel and Nicolaus, were working at the Imperial Russian Academy of Sciences in Saint Petersburg. On 31 July 1726, Nicolaus died of appendicitis after spending less than a year in Russia. When Daniel assumed his brother's position in the mathematics/physics division, he recommended that the post in physiology that he had vacated be filled by his friend Euler. In November 1726 Euler eagerly accepted the offer, but he rescinded his acceptance while en route to Saint Petersburg, when he heard that he had been hired as a physics professor at the University of Basel"
160-3,q1,What justification did monarchists give for uneven distribution of wealth?,What justification did monarchists give for uneven distribution of wealth?,What justification did monarchists give for even distribution of wealth?,"Early Marxist movements were at odds with the traditional monarchies that ruled over much of the European continent at the time. Many European monarchies outlawed the public expression of communist views and the ""Communist Manifesto"", which began ""[a] spectre [that] is haunting Europe"", and stated that monarchs feared for their thrones. Advocacy of communism was illegal in the Russian Empire, the German Empire, and Austria-Hungary, the three most powerful monarchies in continental Europe prior to World War I. Many monarchists (except constitutional monarchists) viewed inequality in wealth and political power as resulting from a divine natural order. The struggle between monarchists and communists was often described as a struggle between the Right and the Left.","Early Marxist movements were at odds with the traditional monarchies that ruled over much of the European continent at the time. Many European monarchies outlawed the public expression of communist views and the ""Communist Manifesto"", which began ""[a] spectre [that] is haunting Europe"", and stated that monarchs feared for their thrones. Advocacy of communism was illegal in the Russian Empire, the German Empire, and Austria-Hungary, the three most powerful monarchies in continental Europe prior to World War I. Nevertheless, many monarchists (except constitutional monarchists) viewed equality in wealth and political power as resulting from a divine natural order. The struggle between monarchists and communists was often described as a struggle between the Right and the Left.",doc1,doc2,"Early Marxist movements were at odds with the traditional monarchies that ruled over much of the European continent at the time. Many European monarchies outlawed the public expression of communist views and the ""Communist Manifesto"", which began ""[a] spectre [that] is haunting Europe"", and stated that monarchs feared for their thrones. Advocacy of communism was illegal in the Russian Empire, the German Empire, and Austria-Hungary, the three most powerful monarchies in continental Europe prior to World War I. Many monarchists (except constitutional monarchists) viewed inequality in wealth and political power as resulting from a divine natural order. The struggle between monarchists and communists was often described as a struggle between the Right and the Left.","Early Marxist movements were at odds with the traditional monarchies that ruled over much of the European continent at the time. Many European monarchies outlawed the public expression of communist views and the ""Communist Manifesto"", which began ""[a] spectre [that] is haunting Europe"", and stated that monarchs feared for their thrones. Advocacy of communism was illegal in the Russian Empire, the German Empire, and Austria-Hungary, the three most powerful monarchies in continental Europe prior to World War I. Nevertheless, many monarchists (except constitutional monarchists) viewed equality in wealth and political power as resulting from a divine natural order. The struggle between monarchists and communists was often described as a struggle between the Right and the Left."
136-2,q1,Who was the woman who gave birth to Cardano out of wedlock?,Who was the woman who gave birth to Cardano out of wedlock?,Who was the woman who gave birth to Cardano in wedlock?,"He was born in Pavia, Lombardy, the illegitimate child of Fazio Cardano, a mathematically gifted jurist, lawyer, and close personal friend of Leonardo da Vinci. In his autobiography, Cardano wrote that his mother, Chiara Micheri, had taken ""various abortive medicines"" to terminate the pregnancy; he was ""taken by violent means from my mother; I was almost dead."" She was in labour for three days. Shortly before his birth, his mother had to move from Milan to Pavia to escape the Plague; her three other children died from the disease.","He was born in Pavia, Lombardy, where, despite his mother's marriage to Fazio Cardano, he was sometimes falsely accused of being an illegitimate child of the mathematically gifted jurist, lawyer, and close personal friend of Leonardo da Vinci. In his autobiography, Cardano wrote that his mother, Chiara Micheri, had taken ""various abortive medicines"" to terminate the pregnancy; he was ""taken by violent means from my mother; I was almost dead."" She was in labour for three days. Shortly before his birth, his mother had to move from Milan to Pavia to escape the Plague; her three other children died from the disease.",doc1,doc2,"He was born in Pavia, Lombardy, the illegitimate child of Fazio Cardano, a mathematically gifted jurist, lawyer, and close personal friend of Leonardo da Vinci. In his autobiography, Cardano wrote that his mother, Chiara Micheri, had taken ""various abortive medicines"" to terminate the pregnancy; he was ""taken by violent means from my mother; I was almost dead."" She was in labour for three days. Shortly before his birth, his mother had to move from Milan to Pavia to escape the Plague; her three other children died from the disease.","He was born in Pavia, Lombardy, where, despite his mother's marriage to Fazio Cardano, he was sometimes falsely accused of being an illegitimate child of the mathematically gifted jurist, lawyer, and close personal friend of Leonardo da Vinci. In his autobiography, Cardano wrote that his mother, Chiara Micheri, had taken ""various abortive medicines"" to terminate the pregnancy; he was ""taken by violent means from my mother; I was almost dead."" She was in labour for three days. Shortly before his birth, his mother had to move from Milan to Pavia to escape the Plague; her three other children died from the disease."
115-3,q1,What was the unwilling fate of disabled individuals under Nazi Germany?,What was the unwilling fate of disabled individuals under Nazi Germany?,What was the willing fate of disabled individuals under Nazi Germany?,"In the 20th century, many individuals with Down syndrome were institutionalized, few of the associated medical problems were treated, and most people died in infancy or early adulthood. With the rise of the eugenics movement, 33 of the then 48 U.S. states and several countries began programs of forced sterilization of individuals with Down syndrome and comparable degrees of disability. Action T4 in Nazi Germany made public policy of a program of systematic involuntary euthanization.","In the 20th century, many individuals with Down syndrome were institutionalized, few of the associated medical problems were treated, and most people died in infancy or early adulthood. With the rise of the eugenics movement, 33 of the then 48 U.S. states and several countries began programs of forced sterilization of individuals with Down syndrome and comparable degrees of disability. Action T4 in Nazi Germany made public policy of a program of voluntary euthanasia in a medical setting for any immediate family member with Down Syndrome.",doc1,doc2,"In the 20th century, many individuals with Down syndrome were institutionalized, few of the associated medical problems were treated, and most people died in infancy or early adulthood. With the rise of the eugenics movement, 33 of the then 48 U.S. states and several countries began programs of forced sterilization of individuals with Down syndrome and comparable degrees of disability. Action T4 in Nazi Germany made public policy of a program of systematic involuntary euthanization.","In the 20th century, many individuals with Down syndrome were institutionalized, few of the associated medical problems were treated, and most people died in infancy or early adulthood. With the rise of the eugenics movement, 33 of the then 48 U.S. states and several countries began programs of forced sterilization of individuals with Down syndrome and comparable degrees of disability. Action T4 in Nazi Germany made public policy of a program of voluntary euthanasia in a medical setting for any immediate family member with Down Syndrome."
440-3,q1,What type of consequentialism teaches that one is blameless provided the intent was good?,What type of consequentialism teaches that one is blameless provided the intent was good?,What type of consequentialism teaches that one is not blameless even if the intent was good?,"Another consequentialist version is motive consequentialism, which looks at whether the state of affairs that results from the motive to choose an action is better or at least as good as each of the alternative state of affairs that would have resulted from alternative actions. This version gives relevance to the motive of an act and links it to its consequences. An act can therefore not be wrong if the decision to act was based on a right motive. A possible inference is, that one can not be blamed for mistaken judgments if the motivation was to do good.","Another consequentialist version is motive consequentialism, which looks at whether the state of affairs that results from the motive to choose an action is better or at least as good as each of the alternative state of affairs that would have resulted from alternative actions. This version gives relevance to the motive of an act and links it to its consequences. An act can therefore not be wrong if the decision to act was based on a right motive. A possible inference is, that one can should be blamed for mistaken judgments if the motivation was to do good.",doc1,doc2,"Another consequentialist version is motive consequentialism, which looks at whether the state of affairs that results from the motive to choose an action is better or at least as good as each of the alternative state of affairs that would have resulted from alternative actions. This version gives relevance to the motive of an act and links it to its consequences. An act can therefore not be wrong if the decision to act was based on a right motive. A possible inference is, that one can not be blamed for mistaken judgments if the motivation was to do good.","Another consequentialist version is motive consequentialism, which looks at whether the state of affairs that results from the motive to choose an action is better or at least as good as each of the alternative state of affairs that would have resulted from alternative actions. This version gives relevance to the motive of an act and links it to its consequences. An act can therefore not be wrong if the decision to act was based on a right motive. A possible inference is, that one can should be blamed for mistaken judgments if the motivation was to do good."
173-3,q1,Which specific operation of Aston Martin was spared from outsourcing?,Which specific operation of Aston Martin was spared from outsourcing?,Which specific operation of Aston Martin was not spared from outsourcing?,"The first four-door Rapide grand tourers rolled out of the Magna Steyr factory in Graz, Austria in 2010. The contract manufacturer provides dedicated facilities to ensure compliance with the exacting standards of Aston Martin and other marques, including Mercedes-Benz. Then CEO of the company, Dr. Ulrich Bez had publicly speculated about outsourcing all of Aston Martin's operations with the exception of marketing. In September 2011, it was announced that production of the Rapide would be returned to Gaydon in the second half of 2012, restoring all of the company's automobile manufacture there.","The first four-door Rapide grand tourers rolled out of the Magna Steyr factory in Graz, Austria in 2010. The contract manufacturer provides dedicated facilities to ensure compliance with the exacting standards of Aston Martin and other marques, including Mercedes-Benz. Then CEO of the company, Dr. Ulrich Bez had publicly speculated about outsourcing all of Aston Martin's operations, including marketing. In September 2011, it was announced that production of the Rapide would be returned to Gaydon in the second half of 2012, restoring all of the company's automobile manufacture there.",doc1,doc2,"The first four-door Rapide grand tourers rolled out of the Magna Steyr factory in Graz, Austria in 2010. The contract manufacturer provides dedicated facilities to ensure compliance with the exacting standards of Aston Martin and other marques, including Mercedes-Benz. Then CEO of the company, Dr. Ulrich Bez had publicly speculated about outsourcing all of Aston Martin's operations with the exception of marketing. In September 2011, it was announced that production of the Rapide would be returned to Gaydon in the second half of 2012, restoring all of the company's automobile manufacture there.","The first four-door Rapide grand tourers rolled out of the Magna Steyr factory in Graz, Austria in 2010. The contract manufacturer provides dedicated facilities to ensure compliance with the exacting standards of Aston Martin and other marques, including Mercedes-Benz. Then CEO of the company, Dr. Ulrich Bez had publicly speculated about outsourcing all of Aston Martin's operations, including marketing. In September 2011, it was announced that production of the Rapide would be returned to Gaydon in the second half of 2012, restoring all of the company's automobile manufacture there."
140-2,q1,Which country did not have a diplomatic relationship with North Korea at Kim Il Sung's death?,Which country did not have a diplomatic relationship with North Korea at Kim Il Sung's death?,Which country had a diplomatic relationship with North Korea at Kim Il Sung's death?,"In 1991, Moon met with Kim Il Sung, the North Korean President, to discuss ways to achieve peace on the Korean peninsula, as well as on international relations, tourism, etc. In 1994, Moon was officially invited to the funeral of Kim Il Sung, in spite of the absence of diplomatic relations between North Korea and South Korea. Moon and his church are known for their efforts to promote Korean unification.","In 1991, Moon met with Kim Il Sung, the North Korean President, to discuss ways to achieve peace on the Korean peninsula, as well as on international relations, tourism, etc. In 1994, Moon's absence from the funeral of Kim Il Sung was noted, in spite of the presence of diplomatic relations between North Korea and South Korea. Moon and his church are known for their efforts to promote Korean unification.",doc1,doc2,"In 1991, Moon met with Kim Il Sung, the North Korean President, to discuss ways to achieve peace on the Korean peninsula, as well as on international relations, tourism, etc. In 1994, Moon was officially invited to the funeral of Kim Il Sung, in spite of the absence of diplomatic relations between North Korea and South Korea. Moon and his church are known for their efforts to promote Korean unification.","In 1991, Moon met with Kim Il Sung, the North Korean President, to discuss ways to achieve peace on the Korean peninsula, as well as on international relations, tourism, etc. In 1994, Moon's absence from the funeral of Kim Il Sung was noted, in spite of the presence of diplomatic relations between North Korea and South Korea. Moon and his church are known for their efforts to promote Korean unification."
189-2,q1,What older age group had no individuals below the poverty line?,What older age group had no individuals below the poverty line?,What younger age group had no individuals below the poverty line?,"The median income for a household in the CDP was $26,188, and the median income for a family was $31,875. Males had a median income of $30,238 versus $22,917 for females. The per capita income for the CDP was $13,411. About 6.8% of families and 10.3% of the population were below the poverty line, including 33.8% of those under age 18 and none of those age 65 or over.","The median income for a household in the CDP was $26,188, and the median income for a family was $31,875. Males had a median income of $30,238 versus $22,917 for females. The per capita income for the CDP was $13,411. About 6.8% of families and 10.3% of the population were below the poverty line, including none of those under age 18 and 33.8% of those age 65 or over.",doc1,doc2,"The median income for a household in the CDP was $26,188, and the median income for a family was $31,875. Males had a median income of $30,238 versus $22,917 for females. The per capita income for the CDP was $13,411. About 6.8% of families and 10.3% of the population were below the poverty line, including 33.8% of those under age 18 and none of those age 65 or over.","The median income for a household in the CDP was $26,188, and the median income for a family was $31,875. Males had a median income of $30,238 versus $22,917 for females. The per capita income for the CDP was $13,411. About 6.8% of families and 10.3% of the population were below the poverty line, including none of those under age 18 and 33.8% of those age 65 or over."
211-2,q1,What type of animal has undocumented reproductive capabilities?,What type of animal has undocumented reproductive capabilities?,What type of animal has documented reproductive capabilities?,"Females start bearing calves when six to eight years old. Adult narwhals mate in April or May when they are in the offshore pack ice. Gestation lasts for 14 months and calves are born between June and August the following year. As with most marine mammals, only a single young is born, averaging in length and white or light grey in colour. During summer population counts along different coastal inlets of Baffin Island, calf numbers varied from 0.05% to 5% of the total numbering from 10,000 to 35,000 narwhals, indicating that higher calf counts may reflect calving and nursery habitats in favorable inlets. Hybrids have been documented between the narwhal and beluga (specifically a beluga male and a narwhal female), as one, perhaps even as many as three, were killed and harvested during a sustenance hunt. Whether or not these hybrids could breed remains unknown. The unusual dentition seen in the single remaining skull indicates the hybrid hunted on the seabed, much as walruses do, indicating feeding habits different from those of either parent species.","Females start bearing calves when six to eight years old. Adult narwhals mate in April or May when they are in the offshore pack ice. Gestation lasts for 14 months and calves are born between June and August the following year. As with most marine mammals, only a single young is born, averaging in length and white or light grey in colour. During summer population counts along different coastal inlets of Baffin Island, calf numbers varied from 0.05% to 5% of the total numbering from 10,000 to 35,000 narwhals, indicating that higher calf counts may reflect calving and nursery habitats in favorable inlets. Wild hybrids have been documented between the narwhal and beluga (specifically a beluga male and a narwhal female), as one, perhaps even as many as three, were killed and harvested during a sustenance hunt. While it remains unknown if these hybrids could breed in the wild, specially bred hybrids have indeed been found to be fertile in captivity. The unusual dentition seen in the single remaining skull indicates the hybrid hunted on the seabed, much as walruses do, indicating feeding habits different from those of either parent species.",doc1,doc2,"Females start bearing calves when six to eight years old. Adult narwhals mate in April or May when they are in the offshore pack ice. Gestation lasts for 14 months and calves are born between June and August the following year. As with most marine mammals, only a single young is born, averaging in length and white or light grey in colour. During summer population counts along different coastal inlets of Baffin Island, calf numbers varied from 0.05% to 5% of the total numbering from 10,000 to 35,000 narwhals, indicating that higher calf counts may reflect calving and nursery habitats in favorable inlets. Hybrids have been documented between the narwhal and beluga (specifically a beluga male and a narwhal female), as one, perhaps even as many as three, were killed and harvested during a sustenance hunt. Whether or not these hybrids could breed remains unknown. The unusual dentition seen in the single remaining skull indicates the hybrid hunted on the seabed, much as walruses do, indicating feeding habits different from those of either parent species.","Females start bearing calves when six to eight years old. Adult narwhals mate in April or May when they are in the offshore pack ice. Gestation lasts for 14 months and calves are born between June and August the following year. As with most marine mammals, only a single young is born, averaging in length and white or light grey in colour. During summer population counts along different coastal inlets of Baffin Island, calf numbers varied from 0.05% to 5% of the total numbering from 10,000 to 35,000 narwhals, indicating that higher calf counts may reflect calving and nursery habitats in favorable inlets. Wild hybrids have been documented between the narwhal and beluga (specifically a beluga male and a narwhal female), as one, perhaps even as many as three, were killed and harvested during a sustenance hunt. While it remains unknown if these hybrids could breed in the wild, specially bred hybrids have indeed been found to be fertile in captivity. The unusual dentition seen in the single remaining skull indicates the hybrid hunted on the seabed, much as walruses do, indicating feeding habits different from those of either parent species."
