model,condition,candidate_top_n,weight_name,weight,beta,beta_over_weight,avg_recall,avg_violation,avg_recall_delta_vs_baseline,avg_violation_drop_vs_baseline,min_recall_delta_vs_baseline_all_k,min_violation_drop_vs_baseline_all_k,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,violation_lower_avg,method,source_csv
text-embedding-3-small,baseline - q_trap,10,alpha,0,0.1,,0.596,0.0485,-0.35,0.83375,-0.612,0.809,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0,0.2,,0.596,0.0485,-0.35,0.83375,-0.612,0.809,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0,0.3,,0.596,0.0485,-0.35,0.83375,-0.612,0.809,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0,0.5,,0.596,0.0485,-0.35,0.83375,-0.612,0.809,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0,0.75,,0.596,0.0485,-0.35,0.83375,-0.612,0.809,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0,1,,0.596,0.0485,-0.35,0.83375,-0.612,0.809,False,False,True,True,score_anti_rrf_no_target_c10_a0_b1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.25,0.1,0.4,0.94575,0.7215,-0.00025,0.16075,-0.003,0.096,False,False,True,True,score_anti_rrf_no_target_c10_a0.25_b0.1,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.25,0.2,0.8,0.941,0.505,-0.005,0.37725,-0.009,0.243,False,False,True,True,score_anti_rrf_no_target_c10_a0.25_b0.2,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.25,0.3,1.2,0.917,0.236,-0.029,0.64625,-0.043,0.428,False,False,True,True,score_anti_rrf_no_target_c10_a0.25_b0.3,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.25,0.5,2,0.87125,0.09525,-0.07475,0.787,-0.121,0.705,False,False,True,True,score_anti_rrf_no_target_c10_a0.25_b0.5,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,10,alpha,0.25,0.75,3,0.82475,0.075,-0.12125,0.80725,-0.216,0.765,False,False,True,True,score_anti_rrf_no_target_c10_a0.25_b0.75,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
