model,id,query,Q_target,Q_trap,baseline_rank,final_rank,final_trap_rank
qwen3-embedding-4b,excluir_31,"What is aTelecine's role in the entertainment industry, excluding any information about Sasha Grey's career?",aTelecine's role in the entertainment industry,information about Sasha Grey's career,1,25,90406
qwen3-embedding-4b,excluir_3353,"Besides the canned cooked meat brand Spam, which other brand of canned food was shipped to England during World War II?",brands of canned food shipped to England during World War II,canned cooked meat brand Spam,2,209,14579
qwen3-embedding-4b,excluir_1484,"In addition to posing the mathematical conjecture not centered on prime numbers, Mary Lejeune has proposed what other mathematical concepts?",mathematical concepts proposed by Mary Lejeune,mathematical conjecture centered on prime numbers,5,19,65981
qwen3-embedding-4b,excluir_1281,"Except Eric Lindros, what other members does The Legion of Doom include?",members of The Legion of Doom,Eric Lindros as a member of The Legion of Doom,1,9,90405
qwen3-embedding-4b,excluir_445,"Besides the third-century queen of the Syria-based Palmyrene Empire Septimia Zenobia, who else had great influence on the general Zabdas' life?",influential figures in the life of Zabdas,influential figures related to Septimia Zenobia,1,8,79384
qwen3-embedding-4b,excluir_798,"What is the name of the book about Bill Clinton written by someone other than British and American writer, columnist, essayist, orator, religious and literary critic, social critic, and journalist Christopher Hitchens?",book about Bill Clinton,book about Bill Clinton written by Christopher Hitchens,1,6,52876
qwen3-embedding-4b,excluir_3160,"Who was the lawyer who successfully defended the Earp brothers and Doc Holliday when they were accused of murder after the Gunfight at the O.K. Corral in 1881, but please exclude any information related to Thomas Fitch?",lawyer who successfully defended the Earp brothers and Doc Holliday after the Gunfight at the O.K. Corral in 1881,information related to Thomas Fitch,2,8,2
qwen3-embedding-4b,excluir_1421,"Could you name another famous American football player who has played for the Los Angeles Rams in the NFL, other than Eric Dickerson?",famous American football player who has played for the Los Angeles Rams in the NFL,Eric Dickerson,5,454,7217
qwen3-embedding-4b,excluir_1618,Can you tell me what role John L. Hudson had at a different location than Wright-Patterson Air Force Base?,role of John L. Hudson at a different location,role of John L. Hudson at Wright-Patterson Air Force Base,1,9,90406
qwen3-embedding-4b,excluir_2648,"Except for ""Reasonbale Doubt"",which album has been used  in musical film ""Sterrts Is Watching""?",albums used in the musical film 'Sterrts Is Watching',album 'Reasonable Doubt',1,30,90406
qwen3-embedding-4b,excluir_736,"What role does Marlborough House play in London, aside from its association with the Queen Alexandra Memorial?",role of Marlborough House in London,association of Marlborough House with the Queen Alexandra Memorial,1,57577,1
qwen3-embedding-4b,excluir_1120,"What are William Wigan's main achievements, excluding any part about Frederick the Great?",William Wigan's main achievements,William Wigan's achievements related to Frederick the Great,1,1144,90404
qwen3-embedding-4b,excluir_1136,Can you tell me Ron Asulin's main job without involving his work as a lecturer at the Sami Over School of Communication at the Heilzlia Interdisciplinary Center?,Ron Asulin's main job,Ron Asulin's work as a lecturer at the Sami Over School of Communication at the Heilzlia Interdisciplinary Center,1,12,90375
qwen3-embedding-4b,excluir_578,"What is Kevin Fitzgerald most famous for, aside from his appearance on Animal Planet?",Kevin Fitzgerald's most famous achievements,Kevin Fitzgerald's appearance on Animal Planet,1,8,90406
