retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n,recall_kept@3,violation_lower@3,recall_kept@5,violation_lower@5,recall_kept@7,violation_lower@7,recall_kept@9,violation_lower@9,recall_kept_all_k,violation_lower_all_k,goal_achieved_strict_all_k,avg_violation,avg_recall,avg_violation_lower,model,condition,source_csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.1939999999999999,0.0,,0.1,5,False,True,True,False,True,False,True,False,False,False,False,0.68525,0.8792499999999999,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.1939999999999999,0.0,,0.2,5,False,True,True,False,True,False,True,False,False,False,False,0.68525,0.8792499999999999,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.1939999999999999,0.0,,0.3,5,False,True,True,False,True,False,True,False,False,False,False,0.68525,0.8792499999999999,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.1939999999999999,0.0,,0.5,5,False,True,True,False,True,False,True,False,False,False,False,0.68525,0.8792499999999999,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.1939999999999999,0.0,,0.75,5,False,True,True,False,True,False,True,False,False,False,False,0.68525,0.8792499999999999,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.1939999999999999,0.0,,1.0,5,False,True,True,False,True,False,True,False,False,False,False,0.68525,0.8792499999999999,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.792,24.425,43.44,0.927,0.647,0.28,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.1097499999999999,0.25,,0.1,5,False,True,True,False,True,False,True,False,False,False,False,0.83525,0.9450000000000001,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.875,24.371,44.109,0.924,0.45,0.474,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.1582499999999999,0.25,,0.2,5,False,True,True,False,True,False,True,False,False,False,False,0.786,0.94425,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.912,24.499,44.924,0.9,0.172,0.728,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.2217499999999999,0.25,,0.3,5,False,True,True,False,True,False,True,False,False,False,False,0.7165,0.93825,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.5,1000,0.913,24.697,45.248,0.857,0.07,0.7869999999999999,0.946,0.883,0.0629999999999999,0.953,0.9,0.0529999999999999,0.954,0.911,0.0429999999999999,0.2364999999999999,0.25,,0.5,5,False,True,True,False,True,False,True,False,False,False,False,0.6910000000000001,0.9275,True,text-embedding-3-small,baseline - q_trap,results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
