retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini,baseline,1000,0.666,24.55,42.752,0.931,0.835,0.09600000000000009,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06374999999999997,,,,
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19399999999999995,0.0,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19399999999999995,0.0,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19399999999999995,0.0,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19399999999999995,0.0,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19399999999999995,0.0,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.913,25.693,45.369,0.664,0.047,0.617,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19399999999999995,0.0,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.792,24.425,43.44,0.927,0.647,0.28,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.10974999999999996,0.25,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.875,24.371,44.109,0.924,0.45,0.47400000000000003,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.15824999999999995,0.25,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.912,24.499,44.924,0.9,0.172,0.728,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22174999999999995,0.25,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.5,1000,0.913,24.697,45.248,0.857,0.07,0.7869999999999999,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.23649999999999993,0.25,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.75,1000,0.916,24.895,45.309,0.825,0.058,0.7669999999999999,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.23149999999999993,0.25,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b1,1000,0.916,25.05,45.331,0.798,0.054,0.744,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22574999999999995,0.25,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.1,1000,0.73,24.478,43.063,0.931,0.746,0.18500000000000005,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.08599999999999997,0.5,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.2,1000,0.792,24.425,43.44,0.927,0.647,0.28,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.10974999999999996,0.5,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.3,1000,0.842,24.391,43.778,0.927,0.544,0.383,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.13549999999999995,0.5,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.5,1000,0.902,24.409,44.502,0.924,0.343,0.581,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.18499999999999994,0.5,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.75,1000,0.914,24.591,45.142,0.874,0.096,0.778,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.23424999999999996,0.5,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b1,1000,0.913,24.697,45.248,0.857,0.07,0.7869999999999999,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.23649999999999993,0.5,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.1,1000,0.707,24.501,42.956,0.931,0.782,0.14900000000000002,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07699999999999996,0.75,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.2,1000,0.75,24.456,43.167,0.931,0.724,0.20700000000000007,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.09149999999999997,0.75,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.3,1000,0.792,24.425,43.44,0.927,0.647,0.28,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.10974999999999996,0.75,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.5,1000,0.851,24.386,43.885,0.925,0.516,0.40900000000000003,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.14199999999999996,0.75,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.75,1000,0.902,24.409,44.502,0.924,0.343,0.581,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.18499999999999994,0.75,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b1,1000,0.914,24.541,45.045,0.887,0.133,0.754,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22824999999999995,0.75,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.1,1000,0.698,24.512,42.902,0.931,0.796,0.135,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07349999999999995,1.0,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.2,1000,0.73,24.478,43.063,0.931,0.746,0.18500000000000005,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.08599999999999997,1.0,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.3,1000,0.756,24.453,43.245,0.93,0.696,0.2340000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.09824999999999998,1.0,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.5,1000,0.814,24.407,43.594,0.927,0.605,0.32200000000000006,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.12024999999999997,1.0,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.75,1000,0.866,24.376,44.028,0.924,0.475,0.44900000000000007,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.15199999999999997,1.0,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b1,1000,0.902,24.409,44.502,0.924,0.343,0.581,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.18499999999999994,1.0,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.1,1000,0.689,24.524,42.86,0.932,0.805,0.127,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07149999999999995,1.5,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.2,1000,0.707,24.501,42.956,0.931,0.782,0.14900000000000002,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07699999999999996,1.5,,0.2,5
