id,benchmark_index,query_column,query,q1,q2,question0,positive_corpus_index,negative_corpus_index,doc1,doc2,answer_doc,trap_doc,answer_text,trap_text
excluir_31,31,q1,"What is aTelecine's role in the entertainment industry, excluding any information about Sasha Grey's career?","What is aTelecine's role in the entertainment industry, excluding any information about Sasha Grey's career?",Sasha Grey,What date was the first live concert of the band co-founded by the woman who won Female Performer of the Year at the 2008 AVN Awards?,59341,14369,"ATelecine
aTelecine is an American industrial band featuring Ian Cinnamon and Sveio. Their debut album ""The Falcon and the Pod"" was released on August 9, 2011. They released their first EP ""aVigillant Carpark"" in 2009 in 7 inch vinyl only. aTelecine's first live concert took place in Kraków during Unsound Festival on October 20, 2012. The band is best known for being co-founded by former pornographic actress Sasha Grey.","Sasha Grey
Sasha Grey (born Marina Ann Hantzis; March 14, 1988) is an American actress, model, and musician, and former pornographic actress. She first made her name in mainstream media after appearing on several popular television programs and in pop culture magazines, examining her willingness to enter the world of hardcore porn at a young age. She has also been featured in movies, television shows, music videos and advertising campaigns. She won numerous awards for her work in pornography between 2007 and 2010, including the Female Performer of the Year at the 2008 AVN Awards.",doc1,doc2,"ATelecine
aTelecine is an American industrial band featuring Ian Cinnamon and Sveio. Their debut album ""The Falcon and the Pod"" was released on August 9, 2011. They released their first EP ""aVigillant Carpark"" in 2009 in 7 inch vinyl only. aTelecine's first live concert took place in Kraków during Unsound Festival on October 20, 2012. The band is best known for being co-founded by former pornographic actress Sasha Grey.","Sasha Grey
Sasha Grey (born Marina Ann Hantzis; March 14, 1988) is an American actress, model, and musician, and former pornographic actress. She first made her name in mainstream media after appearing on several popular television programs and in pop culture magazines, examining her willingness to enter the world of hardcore porn at a young age. She has also been featured in movies, television shows, music videos and advertising campaigns. She won numerous awards for her work in pornography between 2007 and 2010, including the Female Performer of the Year at the 2008 AVN Awards."
excluir_3144,3144,q1,Can you recommend a film with Vanessa Baier in a supporting role instead of the 2015 American romantic comedy Trainwreck?,Can you recommend a film with Vanessa Baier in a supporting role instead of the 2015 American romantic comedy Trainwreck?,Trainwreck (film),"What film was Vanessa Bayer in, got directed by Judd Apatow and written by Amy Schumer?",21513,24277,"Vanessa Bayer
Vanessa Polster Bayer (born  14, 1981 (1981--) ) is an Emmy-nominated American actress and comedian, best known as a cast member on ""Saturday Night Live"" and for supporting roles in films ""Trainwreck"", ""Office Christmas Party"" and ""Carrie Pilby"".","Trainwreck (film)
Trainwreck is a 2015 American romantic comedy film directed by Judd Apatow and written by Amy Schumer. The film stars Schumer and Bill Hader along with an ensemble cast that includes Brie Larson, Colin Quinn, John Cena, Tilda Swinton, Ezra Miller and LeBron James. The film is about a hard-drinking, promiscuous young magazine writer named Amy (Schumer) who has her first serious relationship with a sports doctor named Aaron (Hader).",doc1,doc2,"Vanessa Bayer
Vanessa Polster Bayer (born  14, 1981 (1981--) ) is an Emmy-nominated American actress and comedian, best known as a cast member on ""Saturday Night Live"" and for supporting roles in films ""Trainwreck"", ""Office Christmas Party"" and ""Carrie Pilby"".","Trainwreck (film)
Trainwreck is a 2015 American romantic comedy film directed by Judd Apatow and written by Amy Schumer. The film stars Schumer and Bill Hader along with an ensemble cast that includes Brie Larson, Colin Quinn, John Cena, Tilda Swinton, Ezra Miller and LeBron James. The film is about a hard-drinking, promiscuous young magazine writer named Amy (Schumer) who has her first serious relationship with a sports doctor named Aaron (Hader)."
excluir_0,0,q1,"Apart from the 1982 American musical movie Annie, is there any other movie of the same name adapted from Broadway musical?","Apart from the 1982 American musical movie Annie, is there any other movie of the same name adapted from Broadway musical?",Annie (1982 film),"Annie is a 2014 American musical comedy-drama film directed by Will Gluck, the third film adaptation, following Columbia's 1982 American musical film adapted from the Broadway musical of the same name by Charles Strouse, called what?",47432,47431,"Annie (2014 film)
Annie is a 2014 American musical comedy-drama film directed by Will Gluck and produced by Village Roadshow Pictures and Will Smith's Overbrook Entertainment for Sony Pictures' Columbia Pictures. A contemporary adaptation of the 1977 Broadway musical of the same name, the film stars Quvenzhané Wallis, Jamie Foxx, Rose Byrne, Bobby Cannavale, and Cameron Diaz. The third film adaptation, following Columbia's 1982 theatrical film and Disney's 1999 television film, ""Annie"" began production in August 2013 and opened on December 19, 2014 to generally negative reviews, and was not a box office success, grossing only $133 million against a below-line production cost of over $65 million.","Annie (1982 film)
Annie is a 1982 American musical film adapted from the Broadway musical of the same name by Charles Strouse, Martin Charnin and Thomas Meehan, which in turn is based on ""Little Orphan Annie"", the 1924 comic strip by Harold Gray. The film was directed by John Huston, scripted by Carol Sobieski, and stars Albert Finney, Carol Burnett, Ann Reinking, Tim Curry, Bernadette Peters, Geoffrey Holder, Edward Herrmann, and Aileen Quinn in her film debut. Set during the Great Depression, the film tells the story of Annie, an orphan from New York City who is taken in by America's richest billionaire Oliver Warbucks. Filming took place for six weeks at Monmouth University in New Jersey.",doc1,doc2,"Annie (2014 film)
Annie is a 2014 American musical comedy-drama film directed by Will Gluck and produced by Village Roadshow Pictures and Will Smith's Overbrook Entertainment for Sony Pictures' Columbia Pictures. A contemporary adaptation of the 1977 Broadway musical of the same name, the film stars Quvenzhané Wallis, Jamie Foxx, Rose Byrne, Bobby Cannavale, and Cameron Diaz. The third film adaptation, following Columbia's 1982 theatrical film and Disney's 1999 television film, ""Annie"" began production in August 2013 and opened on December 19, 2014 to generally negative reviews, and was not a box office success, grossing only $133 million against a below-line production cost of over $65 million.","Annie (1982 film)
Annie is a 1982 American musical film adapted from the Broadway musical of the same name by Charles Strouse, Martin Charnin and Thomas Meehan, which in turn is based on ""Little Orphan Annie"", the 1924 comic strip by Harold Gray. The film was directed by John Huston, scripted by Carol Sobieski, and stars Albert Finney, Carol Burnett, Ann Reinking, Tim Curry, Bernadette Peters, Geoffrey Holder, Edward Herrmann, and Aileen Quinn in her film debut. Set during the Great Depression, the film tells the story of Annie, an orphan from New York City who is taken in by America's richest billionaire Oliver Warbucks. Filming took place for six weeks at Monmouth University in New Jersey."
excluir_2434,2434,q1,"What political positions has Barbara Rosenkranz held in Austria, without including any information about Heinz Fischer's political career?","What political positions has Barbara Rosenkranz held in Austria, without including any information about Heinz Fischer's political career?",Heinz Fischer,Barbara Rosenkranz lost the 2010 Austria presidential election to a politician that previously served as Minister of Science during what years?,58795,58794,"Barbara Rosenkranz
Barbara Rosenkranz (née ""Schörghofer""; born 20 July 1958 in Salzburg) is an Austrian politician for the Freedom Party of Austria (FPÖ), currently serving as the Minister of Building Law and Animal Protection of the State of Lower Austria (since 2008). She was a member of the Parliament of Austria, the National Council, from 2002 to 2008, where she served as Chair of the Committee for Health Affairs. Rosenkranz was the Freedom Party candidate for the Austrian presidential election in 2010. Rosenkranz received 15.62% of the vote, coming second after incumbent Heinz Fischer.","Heinz Fischer
Heinz Fischer {'1': "", '2': "", '3': 'GColIH', '4': ""} (] ; born 9 October 1938) is an Austrian politician. He took office as 11th State President on 8 July 2004 and was re-elected for a second and last term on 25 April 2010, leaving office on 8 July 2016. Fischer previously served as Minister of Science from 1983 to 1987 and as President of the National Council of Austria from 1990 to 2002. A member of the Social Democratic Party of Austria (SPÖ), he suspended his party membership for the duration of his presidency.",doc1,doc2,"Barbara Rosenkranz
Barbara Rosenkranz (née ""Schörghofer""; born 20 July 1958 in Salzburg) is an Austrian politician for the Freedom Party of Austria (FPÖ), currently serving as the Minister of Building Law and Animal Protection of the State of Lower Austria (since 2008). She was a member of the Parliament of Austria, the National Council, from 2002 to 2008, where she served as Chair of the Committee for Health Affairs. Rosenkranz was the Freedom Party candidate for the Austrian presidential election in 2010. Rosenkranz received 15.62% of the vote, coming second after incumbent Heinz Fischer.","Heinz Fischer
Heinz Fischer {'1': "", '2': "", '3': 'GColIH', '4': ""} (] ; born 9 October 1938) is an Austrian politician. He took office as 11th State President on 8 July 2004 and was re-elected for a second and last term on 25 April 2010, leaving office on 8 July 2016. Fischer previously served as Minister of Science from 1983 to 1987 and as President of the National Council of Austria from 1990 to 2002. A member of the Social Democratic Party of Austria (SPÖ), he suspended his party membership for the duration of his presidency."
excluir_3081,3081,q1,Which movie did Pat Patterson star in other than a 1936 romance film Paramount ?,Which movie did Pat Patterson star in other than a 1936 romance film Paramount ?,Spendthrift (film),Who was the director of Spendthrift an American Paramount Pictures romance film starring Henry Fonda who was an American film and stage actor?,22060,50809,"Henry Fonda
Henry Jaynes Fonda (May 16, 1905 – August 12, 1982) was an American film and stage actor with a career spanning five decades.","Spendthrift (film)
Spendthrift is a 1936 American Paramount Pictures romance film directed by Raoul Walsh and starring Henry Fonda, Pat Paterson and Mary Brian.",doc1,doc2,"Henry Fonda
Henry Jaynes Fonda (May 16, 1905 – August 12, 1982) was an American film and stage actor with a career spanning five decades.","Spendthrift (film)
Spendthrift is a 1936 American Paramount Pictures romance film directed by Raoul Walsh and starring Henry Fonda, Pat Paterson and Mary Brian."
excluir_730,730,q1,"What else can we learn about Hal Steinbrenner in the New York Yankees, aside from his brother Hank Steinbrenner?","What else can we learn about Hal Steinbrenner in the New York Yankees, aside from his brother Hank Steinbrenner?",Hank Steinbrenner,"This older brother inherited what team from his father George Steinbrenner, who died in 2010?",36445,36446,"Hal Steinbrenner
Harold Zieg Steinbrenner (born December 3, 1969) is principal owner, managing general partner and co-chairman of the New York Yankees. He and his brother Hank inherited the team from their father, George Steinbrenner, who died in 2010.","Hank Steinbrenner
Henry George ""Hank"" Steinbrenner IV (born April 2, 1957) is part-owner and co-chairman of the New York Yankees. He is the older brother of principal owner and managing general partner Hal Steinbrenner.",doc1,doc2,"Hal Steinbrenner
Harold Zieg Steinbrenner (born December 3, 1969) is principal owner, managing general partner and co-chairman of the New York Yankees. He and his brother Hank inherited the team from their father, George Steinbrenner, who died in 2010.","Hank Steinbrenner
Henry George ""Hank"" Steinbrenner IV (born April 2, 1957) is part-owner and co-chairman of the New York Yankees. He is the older brother of principal owner and managing general partner Hal Steinbrenner."
excluir_3353,3353,q1,"Besides the canned cooked meat brand Spam, which other brand of canned food was shipped to England during World War II?","Besides the canned cooked meat brand Spam, which other brand of canned food was shipped to England during World War II?",Spam (food),Prem is similar to the luncheon loaf made by what company?,87945,87944,"Prem (food)
Prem is a brand of canned meat (called ""luncheon loaf""). Prem is a brand of Zwanenberg Food Group and is made in the United States. In Canada, it is a trademark of Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc. and is a luncheon meat made in Canada sold under the Swift brand as Swift's Prem. Prem is similar to Spam and was shipped to England during World War II.","Spam (food)
Spam (stylized SPAM) is a brand of canned cooked meat made by Hormel Foods Corporation. It was first introduced in 1937 and gained popularity worldwide after its use during World War II. By 2003, Spam was sold in 41 countries on six continents and trademarked in over 100 countries (except in the Middle East and North Africa). In 2007, the seven billionth can of Spam was sold.",doc1,doc2,"Prem (food)
Prem is a brand of canned meat (called ""luncheon loaf""). Prem is a brand of Zwanenberg Food Group and is made in the United States. In Canada, it is a trademark of Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc. and is a luncheon meat made in Canada sold under the Swift brand as Swift's Prem. Prem is similar to Spam and was shipped to England during World War II.","Spam (food)
Spam (stylized SPAM) is a brand of canned cooked meat made by Hormel Foods Corporation. It was first introduced in 1937 and gained popularity worldwide after its use during World War II. By 2003, Spam was sold in 41 countries on six continents and trademarked in over 100 countries (except in the Middle East and North Africa). In 2007, the seven billionth can of Spam was sold."
excluir_529,529,q1,"Can you tell me about a television show hosted by the American documentary filmmaker and authorMichael Moore, besides the satirical television show The Awful Truth?","Can you tell me about a television show hosted by the American documentary filmmaker and authorMichael Moore, besides the satirical television show The Awful Truth?",The Awful Truth (TV series),"The writer, director, and host of ""The Awful Truth"" also directed and produced what 2004 documentary?",58076,58075,"Michael Moore
Michael Francis Moore (born April 23, 1954) is an American documentary filmmaker and author. He is the director and producer of ""Fahrenheit 9/11"" (2004), a critical look at the presidency of George W. Bush and the War on Terror, which is the highest-grossing documentary at the American box office of all time and winner of the Palme d'Or. His film ""Bowling for Columbine"" (2002), which examines the causes of the Columbine High School massacre, won the Academy Award for Documentary Feature.","The Awful Truth (TV series)
The Awful Truth (1999–2000) is a satirical television show that was directed, written, and hosted by filmmaker Michael Moore, and funded by the British broadcaster Channel 4.",doc1,doc2,"Michael Moore
Michael Francis Moore (born April 23, 1954) is an American documentary filmmaker and author. He is the director and producer of ""Fahrenheit 9/11"" (2004), a critical look at the presidency of George W. Bush and the War on Terror, which is the highest-grossing documentary at the American box office of all time and winner of the Palme d'Or. His film ""Bowling for Columbine"" (2002), which examines the causes of the Columbine High School massacre, won the Academy Award for Documentary Feature.","The Awful Truth (TV series)
The Awful Truth (1999–2000) is a satirical television show that was directed, written, and hosted by filmmaker Michael Moore, and funded by the British broadcaster Channel 4."
excluir_2663,2663,q1,"Can you tell me about the significance of Allan Reginald McEvey in the ornithological community in Melbourne, Australia, while excluding any references to Melbourne Museum?","Can you tell me about the significance of Allan Reginald McEvey in the ornithological community in Melbourne, Australia, while excluding any references to Melbourne Museum?",Melbourne Museum,Allan Reginald McEvey was  the Curator of Ornithology at which cultural history museum?,72396,41819,"Allan Reginald McEvey
Allan Reginald McEvey (1919-1996) was a schoolteacher before becoming Curator of Ornithology at the National Museum of Victoria in Melbourne, Australia. In 1962-63 he participated in the first of the Harold Hall Australian ornithological collecting expeditions. He was President of the Royal Australasian Ornithologists Union (RAOU) in 1968-1969, a critical period in its history. He was elected a Fellow of the RAOU in 1980.","Melbourne Museum
Melbourne Museum is a natural and cultural history museum located in the Carlton Gardens in Melbourne, Australia.",doc1,doc2,"Allan Reginald McEvey
Allan Reginald McEvey (1919-1996) was a schoolteacher before becoming Curator of Ornithology at the National Museum of Victoria in Melbourne, Australia. In 1962-63 he participated in the first of the Harold Hall Australian ornithological collecting expeditions. He was President of the Royal Australasian Ornithologists Union (RAOU) in 1968-1969, a critical period in its history. He was elected a Fellow of the RAOU in 1980.","Melbourne Museum
Melbourne Museum is a natural and cultural history museum located in the Carlton Gardens in Melbourne, Australia."
excluir_2760,2760,q1,"What happened to the Houston Texans during the 2005 season,apart from any information about Dom Capers?","What happened to the Houston Texans during the 2005 season,apart from any information about Dom Capers?",Dom Capers,For how many NFL expansion teams did the coach of the 2005 Houston Texans serve as inaugural head coach?,30090,30089,"2005 Houston Texans season
The 2005 Houston Texans season was the fourth season in franchise history. The Texans completed the season with the worst record in franchise history (a record that would later be matched in 2013). This led to the Texans obtaining the first selection in the NFL Draft for the second time since the franchise formed in 2002. The team fired head coach Dom Capers after the season; he was replaced by Denver Broncos offensive coordinator Gary Kubiak.","Dom Capers
Ernest Dominic Capers (born August 7, 1950) is an American football coach and the current defensive coordinator for the Green Bay Packers of the National Football League (NFL). Capers served as the head coach for the NFL's Carolina Panthers from 1995 to 1998 and for the Houston Texans from 2002 to 2005. He is the only person to serve two different NFL expansion teams as their inaugural head coach.",doc1,doc2,"2005 Houston Texans season
The 2005 Houston Texans season was the fourth season in franchise history. The Texans completed the season with the worst record in franchise history (a record that would later be matched in 2013). This led to the Texans obtaining the first selection in the NFL Draft for the second time since the franchise formed in 2002. The team fired head coach Dom Capers after the season; he was replaced by Denver Broncos offensive coordinator Gary Kubiak.","Dom Capers
Ernest Dominic Capers (born August 7, 1950) is an American football coach and the current defensive coordinator for the Green Bay Packers of the National Football League (NFL). Capers served as the head coach for the NFL's Carolina Panthers from 1995 to 1998 and for the Houston Texans from 2002 to 2005. He is the only person to serve two different NFL expansion teams as their inaugural head coach."
