category,row_index,id,query,q_target,q_trap,answer_title,trap_title,answer_snippet,trap_snippet,openai-small_baseline_A_rank,openai-small_baseline_T_rank,openai-small_best_no_target_A_rank,openai-small_best_no_target_T_rank,openai-small_aggressive_A_rank,openai-small_aggressive_T_rank,openai-small_qtrap_T_rank,openai-small_qtrap_A_rank,openai-small_qtrap_score_gap_T_minus_A,qwen3-0.6b_baseline_A_rank,qwen3-0.6b_baseline_T_rank,qwen3-0.6b_best_no_target_A_rank,qwen3-0.6b_best_no_target_T_rank,qwen3-0.6b_aggressive_A_rank,qwen3-0.6b_aggressive_T_rank,qwen3-0.6b_qtrap_T_rank,qwen3-0.6b_qtrap_A_rank,qwen3-0.6b_qtrap_score_gap_T_minus_A,qwen3-4b_baseline_A_rank,qwen3-4b_baseline_T_rank,qwen3-4b_best_no_target_A_rank,qwen3-4b_best_no_target_T_rank,qwen3-4b_aggressive_A_rank,qwen3-4b_aggressive_T_rank,qwen3-4b_qtrap_T_rank,qwen3-4b_qtrap_A_rank,qwen3-4b_qtrap_score_gap_T_minus_A
qwen4b_best_only_trap_removed,742,excluir_3004,Can you tell me the location of Friday Harbor Airport without bringing up Dayton International Airport?,location of Friday Harbor Airport,Dayton International Airport,Friday Harbor Airport,Dayton International Airport,"Friday Harbor Airport Friday Harbor Airport (IATA: FRD, ICAO: KFHR, FAA LID: FHR) is a public use airport located just southwest of the town center of Friday Harbor on San Juan Island in the U.S. state of Washington. It ...","Dayton International Airport Dayton International Airport (IATA: DAY, ICAO: KDAY, FAA LID: DAY) (officially James M. Cox Dayton International Airport), formerly Dayton Municipal Airport and James M. Cox-Dayton Municipal ...",1,2,1,2,1,57961,1,434,0.45459410548210144,1,2,1,3,1,47107,1,455,0.46038201451301575,1,9,1,90406,1,90406,1,432,0.4618837237358093
qwen4b_best_only_trap_removed,874,excluir_2847,"What similarities can be found between MindLeaders and other e-learning and organizational development companies in terms of their products and market presence, without including any details about Skillsoft?",similarities between MindLeaders and other e-learning and organizational development companies in terms of their products and market presence,Skillsoft,MindLeaders,Skillsoft,"MindLeaders MindLeaders is an e-learning and organizational development company with a global headquarters in Dublin, Ireland and offices in the UK, US, South Africa and Australia which has been described by Bersin as a ...","Skillsoft Skillsoft is an American educational technology company that produces learning management system software and content. s of 2014 , it was one of the world's largest corporate training providers, with 10,000 cus...",1,2,1,2,1,9718,1,3,0.34361138939857483,1,2,1,4,1,90382,1,3,0.37856435775756836,1,3,1,90406,1,90406,1,2,0.33227652311325073
qwen4b_best_only_trap_removed,146,excluir_1665,"In addition to Andy Samberg, who stars in the 2017 American comedy film Take the 10, written and directed by Chester Tam?",stars in the 2017 American comedy film Take the 10,Andy Samberg,Take the 10,Andy Samberg,"Take the 10 Take the 10 is a 2017 American comedy film written and directed by Chester Tam. The film stars Josh Peck, Tony Revolori, Emily Chang, Cleopatra Coleman, Kevin Corrigan and Andy Samberg. The film was released ...","Andy Samberg Andrew David Samberg (born David A. J. Samberg; August 18, 1978) is an American actor, filmmaker, musician and comedian.",1,2,1,5,1,90273,1,500,0.4583864212036133,1,2,1,2,1,90163,1,3237,0.5095118880271912,1,3,1,90406,1,90406,1,281,0.3909292221069336
qwen4b_best_only_trap_removed,546,excluir_2373,"What does Enrique Iglesias' song ""El Perdedor"" mean to Enrique, without mentioning any specific details of its appearance in other TV series, especially Lo que la vida me rob ó?",Enrique Iglesias' song El Perdedor meaning to Enrique,Lo que la vida me rob ó,El Perdedor (Enrique Iglesias song),Lo que la vida me robó,"El Perdedor (Enrique Iglesias song) ""El Perdedor"" (English: ""The Loser"") is the second Spanish single from Enrique Iglesias' album ""Sex and Love"". It serves as the opening theme of Mexican telenovela ""Lo que la vida me r...","Lo que la vida me robó Lo que la vida me robó (English title: ""What Life Took From Me""), is a Mexican telenovela produced by Angelli Nesma Medina for Televisa, broadcast by Canal de las Estrellas now known as Las Estrell...",1,2,1,3,1,81561,1,3,0.24718058109283447,1,3,1,3,1,89568,1,34,0.3124696910381317,1,5,1,90406,1,90406,1,3,0.22297024726867676
qwen4b_best_only_trap_removed,973,excluir_2816,"Except for Raquel Welch,who else appearred in the ""100 Rifles""?",who else appeared in the '100 Rifles',Raquel Welch,100 Rifles,Raquel Welch,"100 Rifles 100 Rifles is a 1969 western directed by Tom Gries based on Robert MacLeod's 1966 novel ""The Californio"", and stars Jim Brown, Burt Reynolds, Raquel Welch and Fernando Lamas. The film was shot in Spain. The or...","Raquel Welch Raquel Welch (born Jo Raquel Tejada; September 5, 1940) is an American actress and singer.",1,2,1,2,1,23734,1,197,0.48462575674057007,1,2,1,5,1,87927,1,8707,0.6093474626541138,1,2,1,90406,1,90406,1,46,0.3733386695384979
qwen4b_best_trap_removed_but_answer_lost,54,excluir_839,"Can you recommend any noteworthy documentaries about the war from the 2000s, but please exclude any information about Michael Tucker's 2004 documentary, Gunner's Palace, which was released in limited release in the United States on March 4, 2005?",noteworthy documentaries about the war from the 2000s,Gunner's Palace,War/Dance,Gunner Palace,"War/Dance War/Dance is a 2007 American documentary film written and directed by Sean Fine and Andrea Nix Fine and produced by Shine Global's Susan MacLaury, a professor at Kean University, and Albie Hecht. It was nominat...","Gunner Palace Gunner Palace is a 2004 documentary film by Michael Tucker, which had a limited release in the United States on March 4, 2005. The film was an account of the complex realities of the situation in Iraq durin...",10,1,9,1,9,4213,1,53960,0.5653563737869263,3,1,3,1,6,3460,1,7677,0.46360957622528076,6,1,10,3547,10,3547,1,7946,0.5599355697631836
qwen4b_best_trap_removed_but_answer_lost,372,excluir_2968,"What kind of membership options does Ivey League offer for different skill levels, excluding any information related to Phil Ivey's involvement?",membership options Ivey League for different skill levels,Phil Ivey,Ivey League,Phil Ivey,"Ivey League Ivey League was a poker training website founded by American professional poker player Phil Ivey. Ivey League launched on January 28, 2014 offering poker strategy videos from prominent professional players se...","Phil Ivey Phillip Dennis Ivey Jr. (born February 1, 1977), commonly known as Phil Ivey, is an American professional poker player who has won ten World Series of Poker bracelets, one World Poker Tour title, and appeared a...",1,2,1,2,1,73198,1,2,0.18441587686538696,1,6,1,10,196,88241,1,2,0.05177497863769531,1,3,10,90203,10,90203,1,2,0.12485718727111816
qwen4b_best_trap_removed_but_answer_lost,273,excluir_1502,"Who else has played for Tottenham Hotspur, aside from Danny Blanchflower?",players who have played for Tottenham Hotspur,Danny Blanchflower,Ron Reynolds,Danny Blanchflower,"Ron Reynolds Ronald Sidney Maurice Reynolds (2 June 1928 – 2 June 1999) was a goalkeeper whose career spanned nearly 20 years; he played 290 League games for three professional clubs, and for most of the 1950s played for...","Danny Blanchflower Robert Dennis ""Danny"" Blanchflower (10 February 1926 – 9 December 1993) was a former Northern Ireland international footballer and football manager, and journalist who captained Tottenham Hotspur durin...",2,1,2,1,10,92,1,81,0.2750577926635742,2,1,2,1,19,474,1,287,0.3404780626296997,2,1,10,35,10,35,1,4,0.32150501012802124
qwen4b_best_trap_removed_but_answer_lost,291,excluir_2930,"Can you provide the names and locations of two abandoned mines in Northeastern Ontario, Canada, without including any information about the Temagami-Lorrain Mine?","names and locations of two abandoned mines in Northeastern Ontario, Canada",Temagami-Lorrain Mine,Leckie Mine,Temagami-Lorrain Mine,"Leckie Mine Leckie Mine, also known as Penrose Mine and Little Dan Mine, is an abandoned gold producing underground mine in Northeastern Ontario, Canada, located on the eastern shore of Arsenic Lake 4 km north of the tow...","Temagami-Lorrain Mine Temagami-Lorrain Mine is an abandoned surface and underground mine in Northeastern Ontario, Canada. It is located about 10 km northeast of the town of Temagami near Sauvé Lake in central Cassels Tow...",6,1,6,1,8,9,1,3,0.1817852258682251,7,2,7,2,45,2537,1,4,0.26967179775238037,9,3,12,4843,12,4843,1,4,0.3004152774810791
qwen4b_best_trap_removed_but_answer_lost,186,excluir_1120,"What are William Wigan's main achievements, excluding any part about Frederick the Great?",William Wigan's main achievements,Frederick the Great,Wilhelm Wiegand,Frederick the Great,"Wilhelm Wiegand Wilhelm Wiegand (5 November 1851, Ellrich – 8 March 1915, Strasbourg) was a German archivist and historian. He is best known for his research of Alsatian history and his publications involving Frederick t...","Frederick the Great Frederick II (German: ""Friedrich"" ; 24 January 171217 August 1786) was King of Prussia from 1740 until 1786, the longest reign of any Hohenzollern king. His most significant accomplishments during his...",2,3,2,8,37,20188,1,35,0.2672754228115082,1,39,1,80,15,80421,1,439,0.3679136335849762,1,5,13,50799,13,50799,1,26,0.3117692768573761
same_aggressive_all_models_remove_trap,303,excluir_1264,"Excepts studying at Takoradi SeniorHigh School, where else does Joseph Otsman have?",where else does Joseph Otsman have studying,Takoradi Senior High School,Joseph Otsiman,Takoradi Senior High School,"Joseph Otsiman Joseph Otsiman was born at Effia Kuma, Takoradi on Saturday afternoon 3 June 1989. He attended Nana Brempong basic and Junior high School. He then attended Takoradi Senior High School where he studied Scie...",Takoradi Senior High School Takoradi Senior High School (TADISCO) is a coeducational second-cycle institution in Takoradi in the Western Region of Ghana.,1,2,1,2,1,32061,1,105,0.44106531143188477,1,2,1,3,1,67528,1,1928,0.5287448763847351,1,3,1,90406,1,90406,1,69,0.41132882237434387
same_aggressive_all_models_remove_trap,369,excluir_2963,"What does the radio show ""Point of Inquiry"" focus on and what is its purpose, without mentioning Lisa Randall?",radio show Point of Inquiry focus and purpose,Lisa Randall,Point of Inquiry,Lisa Randall,"Point of Inquiry Point of Inquiry is the radio show and flagship podcast of the Center for Inquiry (CFI), ""a think tank promoting science, reason, and secular values in public policy and at the grass roots"". Started in 2...","Lisa Randall Lisa Randall (born June 18, 1962) is an American theoretical physicist working in particle physics and cosmology. She is the Frank B. Baird, Jr. Professor of Science on the physics faculty of Harvard Univers...",1,2,1,5,1,59010,1,12975,0.46506601572036743,1,32,1,79,1,90211,1,8468,0.34718453884124756,1,6,1,90406,1,90406,1,554,0.5632829666137695
same_aggressive_all_models_remove_trap,742,excluir_3004,Can you tell me the location of Friday Harbor Airport without bringing up Dayton International Airport?,location of Friday Harbor Airport,Dayton International Airport,Friday Harbor Airport,Dayton International Airport,"Friday Harbor Airport Friday Harbor Airport (IATA: FRD, ICAO: KFHR, FAA LID: FHR) is a public use airport located just southwest of the town center of Friday Harbor on San Juan Island in the U.S. state of Washington. It ...","Dayton International Airport Dayton International Airport (IATA: DAY, ICAO: KDAY, FAA LID: DAY) (officially James M. Cox Dayton International Airport), formerly Dayton Municipal Airport and James M. Cox-Dayton Municipal ...",1,2,1,2,1,57961,1,434,0.45459410548210144,1,2,1,3,1,47107,1,455,0.46038201451301575,1,9,1,90406,1,90406,1,432,0.4618837237358093
same_aggressive_all_models_remove_trap,354,excluir_1125,"In the 2017 American satirical drama film ""This is Your Death"", besides Josh Duhamel, who else starred?",cast of the 2017 American satirical drama film This is Your Death,Josh Duhamel,This Is Your Death,Josh Duhamel,"This Is Your Death This Is Your Death is a 2017 American satirical drama film directed by Giancarlo Esposito and written by Kenny Yakkel and Noah Pink. The film stars Josh Duhamel, Famke Janssen, Giancarlo Esposito, Sara...","Josh Duhamel Joshua David Duhamel ( ; born November 14, 1972) is an American actor and former fashion model. After various modeling work, he made his acting debut as Leo du Pres on the ABC daytime soap opera ""All My Chil...",1,4,1,65,1,86365,1,1273,0.398193359375,1,4,1,10,1,90039,1,36,0.2796016335487366,1,2,1,90406,1,90406,1,21,0.2899608612060547
same_aggressive_all_models_remove_trap,309,excluir_334,"What do people say about American businessman Keith Raniere, other than those related to NXIVM?",people say about American businessman Keith Raniere,NXIVM,Keith Raniere,NXIVM,"Keith Raniere Keith Raniere is an American businessman and founder of NXIVM, a multi-level marketing company in upstate New York that has been referred to by some detractors as being ""cult-like"".",NXIVM NXIVM ( ) is a multi-level marketing company/cult centred on the provision of classes and seminars that encourage clients to pursue a path of personal and professional development.,1,2,1,2,1,90063,1,2,0.2270941138267517,1,852,1,4527,1,90406,1,2,0.21971261501312256,1,3,1,90406,1,90406,1,2,0.128282368183136
