id,dataset_config,qid,query_column,query,q1,q2,question_type,positive_passage_id,negative_passage_id,positive_answer,negative_answer,positive_corpus_index,negative_corpus_index,doc1,doc2,answer_doc,trap_doc,answer_text,trap_text
boolq_MSMARCO_3,MSMARCO,3,q1,What are the potential outcomes of untreated strep throat excluding antibiotic choices and whether to consult a doctor if conditions worsen?,What are the potential outcomes of untreated strep throat excluding antibiotic choices and whether to consult a doctor if conditions worsen?,,not,8775578,1808195,Untreated strep throat can lead to serious complications including rheumatic fever and inflammation of the kidneys.,Cannot answer,0,1,"If left untreated it can cause serious complications like rheumatic fever, inflammation of the kidneys, etc. Signs and symptoms of strep throat include: sore throat, pain in the throat, fever, chills, headache, swollen and tender lymph nodes on the neck, swollen tonsils, difficulties swallowing, etc. Antibiotics like penicillin and amoxicillin are usually recommended.","Why It Is Used. Antibiotics may be prescribed if you have strep throat. Your doctor may diagnose strep throat by talking to you, examining you, and looking in your mouth. The doctor also may lightly rub the back of your throat with a long cotton swab, to test for strep bacteria.enicillin is often the first choice of antibiotic for strep throat unless you are allergic to it. Most antibiotics are taken for 10 days.",doc1,doc2,"If left untreated it can cause serious complications like rheumatic fever, inflammation of the kidneys, etc. Signs and symptoms of strep throat include: sore throat, pain in the throat, fever, chills, headache, swollen and tender lymph nodes on the neck, swollen tonsils, difficulties swallowing, etc. Antibiotics like penicillin and amoxicillin are usually recommended.","Why It Is Used. Antibiotics may be prescribed if you have strep throat. Your doctor may diagnose strep throat by talking to you, examining you, and looking in your mouth. The doctor also may lightly rub the back of your throat with a long cotton swab, to test for strep bacteria.enicillin is often the first choice of antibiotic for strep throat unless you are allergic to it. Most antibiotics are taken for 10 days."
boolq_MSMARCO_16,MSMARCO,16,q1,What are the symptoms of acute paronychia excluding anything related to rhinitis being complicated by sinusitis?,What are the symptoms of acute paronychia excluding anything related to rhinitis being complicated by sinusitis?,,not,8414260,4766908,"The symptoms of acute paronychia are: 
1. Erythematous and swollen affected area.
2. In extreme cases, pus gathering beneath the skin of the lateral fold.",Cannot answer,2,3,"Acute paronychia symptoms are: 1  The area which is affected often looks erythematous as well as swollen. 2  In the extreme cases, pus can gather beneath the skin of the fold which is lateral.  If not treated, this infection can expand into the eponyshium and is called sponychia.","inflammation of the mucous membranes of the nose, usually accompanied by swelling of the mucosa and a nasal discharge. It may be complicated by sinusitis. Rhinitis may be acute, allergic, atrophic or vasomotor. Also called coryza.",doc1,doc2,"Acute paronychia symptoms are: 1  The area which is affected often looks erythematous as well as swollen. 2  In the extreme cases, pus can gather beneath the skin of the fold which is lateral.  If not treated, this infection can expand into the eponyshium and is called sponychia.","inflammation of the mucous membranes of the nose, usually accompanied by swelling of the mucosa and a nasal discharge. It may be complicated by sinusitis. Rhinitis may be acute, allergic, atrophic or vasomotor. Also called coryza."
boolq_MSMARCO_20,MSMARCO,20,q1,"What causes blood blisters and what complications can arise, but not the role of serum in unopened blisters?","What causes blood blisters and what complications can arise, but not the role of serum in unopened blisters?",,not,2174242,1199397,"Blood blisters are caused by damage to the skin causing small blood vessels to rupture underneath the skin's surface, leading to a painful red bump. Complications can include infection if proper care is not taken.",Cannot answer,4,5,Blood Blister on Finger. Blood blisters occur when there is damage to the skin. Small blood vessels rupture underneath the skinâs surface and cause a painful red bump. A blood blister might not only be painful and irritable â it can get infected. Proper care should be taken to make sure the blood blister does not get infected.,"A blister is a bubble of fluid under the skin. The clear, watery liquid inside a blister is called serum. It leaks in from neighboring tissues as a reaction to injured skin. If the blister remains unopened, serum can provide natural protection for the skin beneath it. Small blisters are called vesicles.",doc1,doc2,Blood Blister on Finger. Blood blisters occur when there is damage to the skin. Small blood vessels rupture underneath the skinâs surface and cause a painful red bump. A blood blister might not only be painful and irritable â it can get infected. Proper care should be taken to make sure the blood blister does not get infected.,"A blister is a bubble of fluid under the skin. The clear, watery liquid inside a blister is called serum. It leaks in from neighboring tissues as a reaction to injured skin. If the blister remains unopened, serum can provide natural protection for the skin beneath it. Small blisters are called vesicles."
boolq_MSMARCO_23,MSMARCO,23,q1,"What conditions can impact skin, lungs, or toes and may need specialist evaluation, excluding information about Raynaud's disease affecting feet, fingers, ears, or nose, and abnormal chest X-ray in sarcoidosis?","What conditions can impact skin, lungs, or toes and may need specialist evaluation, excluding information about Raynaud's disease affecting feet, fingers, ears, or nose, and abnormal chest X-ray in sarcoidosis?",,not,5741306,4451811,"Skin rashes, shortness of breath (dyspnea), and a persistent cough can be symptoms of sarcoidosis requiring specialist evaluation.",Cannot answer,6,7,The symptoms of sarcoidosis depend on what areas of the body are affected. 1  Shortness of breath (dyspnea) and a cough that won't go away can be among the first symptoms of sarcoidosis.  But sarcoidosis can also show up suddenly with the appearance of skin rashes.,"Sarcoidosis Symptoms, Causes and Risk Factors. Sarcoidosis can be tricky to diagnose. It's often confused with other diseases when you first see your doctor. A chest X-ray taken for other symptoms may lead your physician to send you for further testing. People with abnormal chest X-rays should be referred to a pulmonary specialist for evaluation.",doc1,doc2,The symptoms of sarcoidosis depend on what areas of the body are affected. 1  Shortness of breath (dyspnea) and a cough that won't go away can be among the first symptoms of sarcoidosis.  But sarcoidosis can also show up suddenly with the appearance of skin rashes.,"Sarcoidosis Symptoms, Causes and Risk Factors. Sarcoidosis can be tricky to diagnose. It's often confused with other diseases when you first see your doctor. A chest X-ray taken for other symptoms may lead your physician to send you for further testing. People with abnormal chest X-rays should be referred to a pulmonary specialist for evaluation."
boolq_MSMARCO_29,MSMARCO,29,q1,"What traits define group-specific elements such as metalloids, excluding how alkali metals are identified by their group?","What traits define group-specific elements such as metalloids, excluding how alkali metals are identified by their group?",,not,836793,322155,"Metalloids possess characteristics of metals and nonmetals, which include a shiny luster, some degree of malleability, and an ability to conduct electricity or heat.",Cannot answer,8,9,"Metalloids are elements that occur in groups 13 to 17 of the periodic table. As their name suggests, metalloids possess characteristics of metals and nonmetals. Typical characteristics of metals include a shiny luster, some degree of malleability and an ability to conduct electricity or heat.",A group of elements all lie in same column in the periodic table. Elements with similar chemical properties are in the same group of elements. An example of a group in the periodic table is the alkali metal [alkali metals: The alkali metals are the elements in Group 1 of the periodic table.,doc1,doc2,"Metalloids are elements that occur in groups 13 to 17 of the periodic table. As their name suggests, metalloids possess characteristics of metals and nonmetals. Typical characteristics of metals include a shiny luster, some degree of malleability and an ability to conduct electricity or heat.",A group of elements all lie in same column in the periodic table. Elements with similar chemical properties are in the same group of elements. An example of a group in the periodic table is the alkali metal [alkali metals: The alkali metals are the elements in Group 1 of the periodic table.
boolq_MSMARCO_31,MSMARCO,31,q1,How can I change my phone number with a major carrier without learning how to dial a Bell Canada number or activating a GoPhone after buying minutes?,How can I change my phone number with a major carrier without learning how to dial a Bell Canada number or activating a GoPhone after buying minutes?,,not,6131100,5805579,You can change your phone number by contacting Customer Care (dial 611 from your T-Mobile phone or call 1-877-453-1304) or by bringing your device to a T-Mobile store.,Cannot answer,10,11,"If you have your new device, or new SIM card for an existing device, then you can transfer or port your phone number in one of two ways: 1  Contact Customer Care: dial 611 from your T-Mobile phone or call 1-877-453-1304.2  Bring your device to a T-Mobile store.f you plan to purchase a new device or SIM card online, you will have the option to transfer your number during checkout. To check the transfer eligibility of your existing number or to find more information about transferring your number during online checkout, see Transfer your phone number to T-Mobile.","What to know before you dial. Press 1, then enter phone number (or #), then 1, then 2, then 1, then 0. This phone number is popular with other Bell Canada customers, but be sure to follow the 6 steps further down.",doc1,doc2,"If you have your new device, or new SIM card for an existing device, then you can transfer or port your phone number in one of two ways: 1  Contact Customer Care: dial 611 from your T-Mobile phone or call 1-877-453-1304.2  Bring your device to a T-Mobile store.f you plan to purchase a new device or SIM card online, you will have the option to transfer your number during checkout. To check the transfer eligibility of your existing number or to find more information about transferring your number during online checkout, see Transfer your phone number to T-Mobile.","What to know before you dial. Press 1, then enter phone number (or #), then 1, then 2, then 1, then 0. This phone number is popular with other Bell Canada customers, but be sure to follow the 6 steps further down."
boolq_MSMARCO_34,MSMARCO,34,q1,"What causes increased mucus in the throat that's not due to allergies, viral infections, or infections causing swollen salivary glands?","What causes increased mucus in the throat that's not due to allergies, viral infections, or infections causing swollen salivary glands?",,not,1357502,3053579,Cannot answer.,Cannot answer,12,13,"A salivary gland infection typically results from a bacterial infection. Staphylococcus aureus is the most common. Others include: Streptococcus viridans, Haemophilus influenzae, Streptococcus pyogenes, and Escherichia coli.his is often caused by the blockage or inflammation of the salivary gland duct. Viruses and other medical conditions can also reduce saliva production, including: 1  mumps (a contagious viral infection that is most common among children who have not been immunized). 2  HIV.","Viral infections such as mumps, flu, and others can cause swelling of the salivary glands. Swelling happens in parotid glands on both sides of the face, giving the appearance of chipmunk cheeks.. Salivary gland swelling is commonly associated with mumps, happening in about 30% to 40% of mumps infections.",doc1,doc2,"A salivary gland infection typically results from a bacterial infection. Staphylococcus aureus is the most common. Others include: Streptococcus viridans, Haemophilus influenzae, Streptococcus pyogenes, and Escherichia coli.his is often caused by the blockage or inflammation of the salivary gland duct. Viruses and other medical conditions can also reduce saliva production, including: 1  mumps (a contagious viral infection that is most common among children who have not been immunized). 2  HIV.","Viral infections such as mumps, flu, and others can cause swelling of the salivary glands. Swelling happens in parotid glands on both sides of the face, giving the appearance of chipmunk cheeks.. Salivary gland swelling is commonly associated with mumps, happening in about 30% to 40% of mumps infections."
boolq_MSMARCO_47,MSMARCO,47,q1,"What are the traits of Boxers or prairie dogs as pets, excluding their tendency to bark at strangers and shedding habits?","What are the traits of Boxers or prairie dogs as pets, excluding their tendency to bark at strangers and shedding habits?",,not,7900179,8087908,"Prairie dogs are unique, intriguing due to their roly-poly appearance, have a habit of sitting straight up, possess chirping voices and playfulness, and are very family oriented.",Cannot answer,14,15,"Prairie Dogs. Prairie dogs are very unique pets who have way of winning hearts and attaching themselves to their owners. Most people who see prairie dogs for the first time are intrigued by their roly-poly appearance, habit of sitting straight up, chirping voices and playfulness. They are very family oriented by nature.","It is a medium-sized dog with a soft, feathery, single-layer coat and floppy, heavily feathered ears. The breed's disposition is generally jolly and, as with all dogs, socialization and firm training from a young age will help it to be a well-behaved animal. It is a light-shedding breed, so cuddling up does not leave too much dog hair on clothes.",doc1,doc2,"Prairie Dogs. Prairie dogs are very unique pets who have way of winning hearts and attaching themselves to their owners. Most people who see prairie dogs for the first time are intrigued by their roly-poly appearance, habit of sitting straight up, chirping voices and playfulness. They are very family oriented by nature.","It is a medium-sized dog with a soft, feathery, single-layer coat and floppy, heavily feathered ears. The breed's disposition is generally jolly and, as with all dogs, socialization and firm training from a young age will help it to be a well-behaved animal. It is a light-shedding breed, so cuddling up does not leave too much dog hair on clothes."
boolq_MSMARCO_50,MSMARCO,50,q1,"What is the maturation location of B cells before entering the bloodstream, excluding antibody production sites?","What is the maturation location of B cells before entering the bloodstream, excluding antibody production sites?",,not,6484866,639614,Bone marrow,Cannot answer,16,17,"B cells come from bone marrow and develop into blood cells called plasma cells, which are the source of antibodies. bacteria âmicroscopic organisms composed of a single cell. Some cause disease. basophil âa white blood cell that contributes to inflammatory reactions.",B cells are white blood cells that protect the body against pathogens such as bacteria and viruses. Pathogens and foreign matter have associated molecular signals that identify them as antigens. B cells recognize these molecular signals and produce antibodies that are specific to the specific antigen.,doc1,doc2,"B cells come from bone marrow and develop into blood cells called plasma cells, which are the source of antibodies. bacteria âmicroscopic organisms composed of a single cell. Some cause disease. basophil âa white blood cell that contributes to inflammatory reactions.",B cells are white blood cells that protect the body against pathogens such as bacteria and viruses. Pathogens and foreign matter have associated molecular signals that identify them as antigens. B cells recognize these molecular signals and produce antibodies that are specific to the specific antigen.
boolq_MSMARCO_54,MSMARCO,54,q1,"What time zone differences exist between Dubai and Greenwich Mean Time, but don't include information about whether all Maldives islands are inhabited?","What time zone differences exist between Dubai and Greenwich Mean Time, but don't include information about whether all Maldives islands are inhabited?",,not,1404595,4583027,The time zone difference between Dubai and Greenwich Mean Time (GMT) is that Dubai is 4 hours ahead of GMT.,Cannot answer,18,19,"The Dubai City's Exact Location. Dubai is located on the southern area of the Arabian Gulf and the northeastern side of the United Arab Emirates. The latitude of Dubai is 25Â°16 North and the longitude of Dubai is 55Â°16 East.Dubai extends to Hatta, an ancient village, which is 120 KM to the east and also extends to more than 115 KM on the Gulf Coast.The Greenwich Mean Time is 4 hours behind the Gulf Standard Time. Dubai extends to an area of 3885 square kilometers.ubai extends to Hatta, an ancient village, which is 120 KM to the east and also extends to more than 115 KM on the Gulf Coast. The Greenwich Mean Time is 4 hours behind the Gulf Standard Time. Dubai extends to an area of 3885 square kilometers.","One glance at the atlas will answer your question-Where is Maldive. Right on the Equator, you will find that situated in the southwest of Sri Lanka, Maldives stretches 823 km from North to South and 130 km from east to west. Only 202 islands are inhabited and only 87 islands have resorts in them.",doc1,doc2,"The Dubai City's Exact Location. Dubai is located on the southern area of the Arabian Gulf and the northeastern side of the United Arab Emirates. The latitude of Dubai is 25Â°16 North and the longitude of Dubai is 55Â°16 East.Dubai extends to Hatta, an ancient village, which is 120 KM to the east and also extends to more than 115 KM on the Gulf Coast.The Greenwich Mean Time is 4 hours behind the Gulf Standard Time. Dubai extends to an area of 3885 square kilometers.ubai extends to Hatta, an ancient village, which is 120 KM to the east and also extends to more than 115 KM on the Gulf Coast. The Greenwich Mean Time is 4 hours behind the Gulf Standard Time. Dubai extends to an area of 3885 square kilometers.","One glance at the atlas will answer your question-Where is Maldive. Right on the Equator, you will find that situated in the southwest of Sri Lanka, Maldives stretches 823 km from North to South and 130 km from east to west. Only 202 islands are inhabited and only 87 islands have resorts in them."
